zone,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
центр,152,78,56,28,31,22,161,642,1240,1087,734,709,680,661,693,772,874,759,775,682,617,512,332,236
полуцентр,180,93,65,33,29,33,205,778,1242,969,697,716,669,617,724,720,772,705,760,659,586,530,378,309
середина,226,128,57,39,25,39,267,846,1062,879,660,596,686,669,668,670,770,772,734,641,571,613,538,369
край,367,212,164,92,69,104,338,847,944,733,619,551,561,572,619,563,667,650,627,645,636,693,630,570
