iter	Logloss
0	0.6792742674
1	0.6666543748
2	0.655372608
3	0.6463779793
4	0.6385957314
5	0.6316879014
6	0.6256837379
7	0.6196123065
8	0.615049786
9	0.6111151187
10	0.6065521766
11	0.603653708
12	0.6000966823
13	0.5967789891
14	0.5938259009
15	0.5912506719
16	0.5891955272
17	0.58716297
18	0.585245893
19	0.5835016597
20	0.5820329172
21	0.5804440326
22	0.5789355984
23	0.5777574969
24	0.5760892293
25	0.5747054528
26	0.5734287079
27	0.5722859951
28	0.5711769407
29	0.5700553274
30	0.569397356
31	0.5685211871
32	0.5679107067
33	0.5672816571
34	0.5667298428
35	0.565961193
36	0.5652188037
37	0.5645057491
38	0.5638889932
39	0.563310091
40	0.5627325599
41	0.5620077354
42	0.5615373761
43	0.5610959314
44	0.5605550638
45	0.5601246694
46	0.5595860761
47	0.5591687909
48	0.5586439836
49	0.5583188943
50	0.5579005043
51	0.557552052
52	0.5571705087
53	0.5566693873
54	0.5563125913
55	0.5559886407
56	0.5554752796
57	0.5551274029
58	0.55462061
59	0.5543420978
60	0.5540082745
61	0.5536150908
62	0.5528555907
63	0.552486512
64	0.5521586748
65	0.5518075603
66	0.5515535465
67	0.5512356267
68	0.5509763904
69	0.5507868682
70	0.5505010302
71	0.5503429673
72	0.550074178
73	0.5498306515
74	0.5494144731
75	0.5491750564
76	0.5489419917
77	0.5485674249
78	0.5482042431
79	0.5479857088
80	0.5477349575
81	0.5475615022
82	0.5473358407
83	0.5470629865
84	0.5468170784
85	0.5465237718
86	0.5462940888
87	0.546026689
88	0.5458232558
89	0.5455079869
90	0.5451197076
91	0.5449620071
92	0.5446929924
93	0.5445007055
94	0.5443909385
95	0.5441298797
96	0.5438666124
97	0.5435931718
98	0.5434463901
99	0.5432722462
100	0.5431054484
101	0.5429428809
102	0.5426864364
103	0.5424750742
104	0.5423161723
105	0.5420333687
106	0.5417793921
107	0.5416126495
108	0.541475524
109	0.5412532117
110	0.5409519878
111	0.5408381306
112	0.5406643253
113	0.5404795145
114	0.5402346542
115	0.5400948416
116	0.5398170475
117	0.5395457605
118	0.5394276444
119	0.539165429
120	0.5390181883
121	0.5387653501
122	0.5386935643
123	0.5386007302
124	0.5383740145
125	0.538279764
126	0.5380650813
127	0.5379408596
128	0.5378088071
129	0.5375705972
130	0.5373308199
131	0.5369631409
132	0.5367930856
133	0.5365486276
134	0.5363680532
135	0.5361670283
136	0.5360160085
137	0.5358188205
138	0.535604526
139	0.5354726866
140	0.535317116
141	0.5351089426
142	0.5349674548
143	0.5348234951
144	0.5345910019
145	0.5343725946
146	0.5340780673
147	0.5339068671
148	0.5337461001
149	0.5335691471
150	0.5335383368
151	0.5334420013
152	0.5332068561
153	0.5330362081
154	0.5328702412
155	0.5326936812
156	0.5325221962
157	0.5324094127
158	0.5321921131
159	0.5320905288
160	0.5318925154
161	0.5316079929
162	0.5314598781
163	0.5313200826
164	0.5311778117
165	0.5311044204
166	0.5309758379
167	0.5308100666
168	0.5307632394
169	0.5306135236
170	0.5304745881
171	0.5302548508
172	0.5301575343
173	0.529860458
174	0.5296132092
175	0.5294047253
176	0.5291866086
177	0.5290821656
178	0.5288977487
179	0.5286846826
180	0.5285338931
181	0.5284297724
182	0.5283811015
183	0.5283563485
184	0.5281996578
185	0.5280585555
186	0.5278521412
187	0.5275743614
188	0.527489593
189	0.5273156507
190	0.5270862608
191	0.5269073453
192	0.5267491234
193	0.5266398761
194	0.526442929
195	0.5263468372
196	0.5262676199
197	0.5261317649
198	0.5259863972
199	0.525874066
200	0.5256820638
201	0.5255435143
202	0.5252926492
203	0.5252467066
204	0.5251209805
205	0.5249603181
206	0.5247632475
207	0.5246833946
208	0.5244777083
209	0.5242629246
210	0.5241690235
211	0.5239086925
212	0.523766718
213	0.5235138299
214	0.5234585306
215	0.5232983758
216	0.523142481
217	0.5229122991
218	0.5226727284
219	0.5224852154
220	0.522286578
221	0.5221543405
222	0.5219435994
223	0.5217572136
224	0.5214942316
225	0.5213288064
226	0.521228422
227	0.5210369748
228	0.5208842477
229	0.5206533085
230	0.5204668364
231	0.5203290927
232	0.5201775729
233	0.5199006201
234	0.5196915087
235	0.5195326391
236	0.5193182776
237	0.5192092771
238	0.5190205792
239	0.5187559477
240	0.518565322
241	0.5184439726
242	0.5182417962
243	0.5181291622
244	0.5179041202
245	0.517729755
246	0.5174730525
247	0.5172681571
248	0.5170701514
249	0.5169953653
250	0.5168615702
251	0.516714534
252	0.5164335135
253	0.5162780505
254	0.5161216669
255	0.5159669278
256	0.5158613598
257	0.5156433426
258	0.5155363715
259	0.5153439581
260	0.5152162676
261	0.5150507091
262	0.5149227927
263	0.5147923531
264	0.5146630165
265	0.5144651505
266	0.5142989585
267	0.51406386
268	0.5138848821
269	0.5136972647
270	0.5134174536
271	0.5131632001
272	0.5129473313
273	0.5126989944
274	0.5125735517
275	0.5124223375
276	0.5122395289
277	0.5120092618
278	0.5117919238
279	0.5115690891
280	0.5114491107
281	0.5113725397
282	0.5112337205
283	0.5110261462
284	0.5108108002
285	0.510639679
286	0.5105371112
287	0.5103946615
288	0.5101720937
289	0.5100381207
290	0.5098392586
291	0.5095804848
292	0.5093610638
293	0.5092205959
294	0.5089698303
295	0.5086790672
296	0.5084695028
297	0.5083029516
298	0.5080957031
299	0.5079762075
300	0.5077929381
301	0.5076688245
302	0.5075014715
303	0.5073255985
304	0.5071581638
305	0.5069831933
306	0.5067515857
307	0.5066494739
308	0.5064663129
309	0.5063831213
310	0.5062414172
311	0.5061397831
312	0.5060496213
313	0.5058219935
314	0.5056632151
315	0.5054682643
316	0.5052162614
317	0.5050298326
318	0.5048602817
319	0.5046862012
320	0.5044666185
321	0.5042918901
322	0.5040919909
323	0.503938754
324	0.5037883271
325	0.5036601399
326	0.5034881211
327	0.5032929688
328	0.503186191
329	0.5030262375
330	0.5029216479
331	0.5027419929
332	0.5024856381
333	0.5022587919
334	0.5021540466
335	0.5018782854
336	0.5017029882
337	0.5015232603
338	0.501375957
339	0.5011897383
340	0.5010279758
341	0.5009087307
342	0.500731658
343	0.5006247432
344	0.5004729328
345	0.5003800028
346	0.5002516183
347	0.5000821247
348	0.499878797
349	0.4997875259
350	0.4996422493
351	0.4994880212
352	0.4994366537
353	0.4992876633
354	0.4991450222
355	0.499057973
356	0.4990309659
357	0.4989605883
358	0.498868636
359	0.49872889
360	0.4985895168
361	0.4984479273
362	0.49824688
363	0.4982020729
364	0.4980708662
365	0.4979287523
366	0.4978022687
367	0.4976008364
368	0.4974719706
369	0.4973767989
370	0.4972320529
371	0.4971519863
372	0.496909733
373	0.4967844466
374	0.4966140352
375	0.4964565818
376	0.4963105403
377	0.4961690252
378	0.4960732733
379	0.496018106
380	0.4958311088
381	0.4956900927
382	0.4954524012
383	0.495359913
384	0.4951791041
385	0.4950395495
386	0.4948468033
387	0.4947852217
388	0.4946268032
389	0.4944475516
390	0.4942602659
391	0.4941949078
392	0.4940642056
393	0.4939082026
394	0.4938549195
395	0.4938361743
396	0.4936555273
397	0.4934478191
398	0.4932666354
399	0.493181437
400	0.4931027962
401	0.4929549873
402	0.492866463
403	0.4928165336
404	0.4926546367
405	0.4926026976
406	0.4925004617
407	0.4924311024
408	0.4921773193
409	0.4920168723
410	0.4918805627
411	0.4916887701
412	0.4915461408
413	0.4913157283
414	0.4911614187
415	0.4910345963
416	0.4909719234
417	0.4908416652
418	0.4906993793
419	0.4905973314
420	0.4904008463
421	0.4901569163
422	0.4900625781
423	0.4899631063
424	0.489807921
425	0.4897382749
426	0.4896691765
427	0.4895516777
428	0.4894520253
429	0.4894125928
430	0.4892474034
431	0.4890033482
432	0.4888728174
433	0.4887356403
434	0.4886146901
435	0.4884038651
436	0.4883327887
437	0.4882479926
438	0.4881358511
439	0.4879908733
440	0.4880202769
441	0.487942612
442	0.487804518
443	0.4876736494
444	0.4875108595
445	0.4874282551
446	0.4873441695
447	0.4872518709
448	0.4871158442
449	0.4870124224
450	0.48692658
451	0.4868806094
452	0.4868395458
453	0.4866935572
454	0.4864920385
455	0.4863221999
456	0.4861233791
457	0.4859738306
458	0.4857654068
459	0.4855704195
460	0.4854974623
461	0.4853228128
462	0.4852836595
463	0.4852038414
464	0.48510947
465	0.484962111
466	0.4848865545
467	0.4846394414
468	0.4844270352
469	0.4843383111
470	0.4842602316
471	0.484195856
472	0.4840167767
473	0.4838047201
474	0.4836292832
475	0.4835689892
476	0.4835553845
477	0.483394077
478	0.4832669882
479	0.4831770708
480	0.4831217447
481	0.4830290352
482	0.4829620715
483	0.4828171715
484	0.4826410992
485	0.4824502951
486	0.4823088268
487	0.4822284907
488	0.4820606067
489	0.4819336051
490	0.4819044058
491	0.4817847834
492	0.4816947973
493	0.4816107819
494	0.4815033281
495	0.4813445016
496	0.4813753554
497	0.4812219287
498	0.4810761079
499	0.4809346113
500	0.4807648605
501	0.4806329737
502	0.4804120324
503	0.4803567857
504	0.4802357464
505	0.4800362602
506	0.4800039432
507	0.4799079187
508	0.4796959827
509	0.4796441356
510	0.4795666538
511	0.4794252603
512	0.4793284344
513	0.4792986824
514	0.4792391585
515	0.4791027032
516	0.4788672808
517	0.4787448479
518	0.4786691148
519	0.4786212154
520	0.4783938789
521	0.4781877437
522	0.4780558825
523	0.4779219013
524	0.4778972287
525	0.4777080293
526	0.4775901431
527	0.4774684789
528	0.4773236953
529	0.4772161842
530	0.4771063457
531	0.4770765252
532	0.476958778
533	0.4767540715
534	0.4766429612
535	0.4765173572
536	0.4764219712
537	0.4763644881
538	0.4762230075
539	0.4760733066
540	0.4759974411
541	0.4758621443
